対象県（富山/石川/福井）,アンケート回答日,居住都道府県,性別,年代,職業,世帯年収,同伴者,宿泊数（全行程）,宿泊エリア（県外）,宿泊エリア（県内）,宿泊数（県内）,１泊目　宿泊先,１泊目　食事プラン,２泊目　宿泊先,２泊目　食事プラン,３泊目　宿泊先,３泊目　食事プラン,４泊目　宿泊先,４泊目　食事プラン,交通手段１（目的地まで）,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,交通手段２（目的地から）,タクシー,路線バス,徒歩,レンタサイクル,交通の満足度,交通の満足度の理由,来県回数（観光）,エリアへの訪問回数,施設への訪問回数,目的,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他の目的,情報源,Facebook,Google,Googleマップ,Instagram,TikTok,X（旧Twitter）,YouTube,SNS広告,ブログ,まとめサイト,インターネット・アプリ,デジタルニュース,宿泊予約Webサイト,宿泊施設,TV・ラジオ番組やCM,ラブライブのスタンプラリー,新聞・雑誌・ガイドブック,旅行会社,友人・知人,地元の人,観光パンフレット・ポスター,観光案内所,観光展・物産展,観光連盟やDMOのHP,その他,他を検討した？,どこと比較した？（県）,どこと比較した？（観光地）,交通費,飲食費,宿泊費,買い物費,施設orエリア消費総額,観光費,訪問場所,寿司,ます寿司,海の幸食べたか,海の幸感動,満足度（食べ物・料理）,満足度（宿泊施設）,満足度（買い物（工芸品・特産品など））,満足度（観光・体験）,満足度（旅行全体）,満足度（商品・サービス）,満足度理由(サービス),満足度理由,不便に感じたこと・困ったこと,最も幸せを感じた食べ物,最も幸せを感じた観光・体験,おすすめ度,再訪意向,自由意見,回答場所,個人情報保護の方針について,アンケート前に訪れた主な場所（施設やスポット名称、エリアなど）,上記名称リストにない場合について、具体的にお答えください。(前),アンケート後に訪れる予定の場所（施設やスポット名称、エリア）,上記名称リストにない場合について、具体的にお答えください。(後),会員ID,登録エリア,生まれ年,回答時の年齢,UA(UserAgent),回答月,回答エリア2,DMO,推奨項目
石川,2023/10/11 9:00:51,埼玉県,男,1964,,400万円以上 500万円未満,夫婦2人,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,新幹線,0,0,1,0,0,0,0,,0,0,0,0,4,のりばがわかりやすく表示されていて、本数も結構あった。,,,初めて,名所、旧跡の観光,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,新聞・雑誌・ガイドブック,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,"5,000円以上 10,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,,4,,,,,,8,機会があれば行きたい,特になし,兼六園,同意する,,,,,,,1964,,,,,,
石川,2023/10/14 20:12:24,石川県,男,1995,,600万円以上 700万円未満,自分ひとり,日帰り,石川県外には泊まらない,石川県内には宿泊しない,石川県内には宿泊しない,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,,,,,6～10回目,出張など仕事関係,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,観光連盟やDMOのHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,"1,000円未満",,使わない,,,,,,,,,,,,3,,,,,,7,石川県在住,特になし,兼六園,同意する,,,,,,,1995,,,,,,
石川,2023/10/14 22:08:28,大阪府,女,1999,,200万円以上 300万円未満,親,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,在来線,0,0,0,1,0,0,0,,0,0,0,0,,,,,2～5回目,"地元の美味しいものを食べる, まちあるき、都市散策",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"観光パンフレット・ポスター, インターネット・アプリ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,"30,000円以上 40,000円未満",,使わない,,,,,,,,,,,,4,ライトアップのとき、無料だったのでよかった,ライトアップが非常に綺麗だった,,,,9,また行きたい（1年以内）,美味しい海鮮を手頃な値段で食べたい。できれば主要な回転寿司の店舗は予約できるようになって欲しい。(ランチ営業は難しいのは分かるが。),兼六園,同意する,,,,,,,1999,,,,,,
石川,2023/10/15 10:23:47,静岡県,女,1961,,"1,200万円以上 1,500万円未満",夫婦2人,3泊,富山県,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,,,,,6～10回目,名所、旧跡の観光,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,観光パンフレット・ポスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,"5,000円以上 10,000円未満",,"1,000円未満",,,,,,,,,,,,3,お茶室が混んでいました。もう少し受け入れ人数が多いと混まないと思いました。,いつもお庭の手入れをされている方が複数いらして、綺麗なお庭を堪能できるので。,,,,9,また行きたい（1年以内）,牛首紬の小物 いつ伺っても、整備された庭園を楽しめるので。,兼六園,同意する,,,,,,,1961,,,,,,
石川,2023/10/15 20:54:08,奈良県,女,1998,,400万円以上 500万円未満,恋人,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,在来線,0,0,0,1,0,0,0,,0,0,0,0,,,,,2～5回目,"地元の美味しいものを食べる, 名所、旧跡の観光",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,新聞・雑誌・ガイドブック,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,"10,000円以上 20,000円未満",,使わない,,,,,,,,,,,,4,,,,,,8,機会があれば行きたい,バスはもう少しICA以外の交通系ICカードを使わせてほしかった。飲食店は土日祝はもう少し遅い時間まで営業しても良いのではないか。,兼六園,同意する,,21世紀美術館,,,,,1998,,,,,,
石川,2023/10/17 8:37:27,広島県,男,1975,,"900万円以上 1,000万円未満",夫婦2人,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,,,,,初めて,"名所、旧跡の観光, 大学生の子供に会いに",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光パンフレット・ポスター, インターネット・アプリ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,"5,000円以上 10,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,,4,日中と夜の２回訪問しました。,,,,,9,機会があれば行きたい,現在のものを引き続き品質を落とすこと無くで良いと思います。,兼六園,同意する,,,,,,,1975,,,,,,
石川,2023/10/25 20:37:50,埼玉県,女,1984,,200万円以上 300万円未満,夫婦2人,3泊,岐阜県,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,,,,,初めて,"地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"インターネット・アプリ, X(旧：Twitter)",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"3,000円以上 5,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,,4,,,,,,9,また行きたい（1年以内）,食べ歩き可能なものが増えると嬉しいです 景色も綺麗で美味しいものもたくさんあるところ,兼六園,同意する,,,,,,,1984,,,,,,
石川,2023/10/29 0:22:53,埼玉県,女,1992,,100万円以上 200万円未満,親,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,新幹線,0,0,1,0,0,0,0,,0,0,0,0,5,,,,初めて,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡の観光",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"TV・ラジオ番組やCM, 観光パンフレット・ポスター, X(旧：Twitter), Instagram",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,"10,000円以上 20,000円未満",,使わない,,,,,,,,,,,,5,,,,,,10,機会があれば行きたい,特になし,兼六園,同意する,,,,,,,1992,,,,,,
石川,2023/10/29 21:36:03,神奈川県,女,1993,,800万円以上 900万円未満,親,4泊以上,車中泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,夜行バス,0,0,0,0,0,0,0,,0,0,0,0,,,,,11回目以上,"友人・親戚を訪ねる, 金沢マラソンの応援",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,友人・知人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,"1,000円未満",,使わない,,,,,,,,,,,,5,夕食後ライトアップを観に行ったので何も購入しなかったため商品と言えるか微妙ですが、ライトアップは素敵でした！,池に映る木々が幻想的で素敵だった,,,,10,また行きたい（1年以内）,特になし 金沢マラソン。食べまっしステーションなど石川ならではがたくさんあり、応援する側も観光地が多いので楽しかったです！,兼六園,同意する,,,,,,,1993,,,,,,
石川,2023/10/31 19:13:08,石川県,女,1999,,100万円未満,恋人,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,,,,,2～5回目,花見や紅葉などの自然鑑賞,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,観光パンフレット・ポスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,"5,000円以上 10,000円未満",,使わない,,,,,,,,,,,,5,,,,,,10,また行きたい（1年以内）,特になし,兼六園,同意する,,,,,,,1999,,,,,,
石川,2023/11/15 11:05:39,北海道,女,1981,,200万円以上 300万円未満,恋人,1泊,福井県,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,飛行機,0,0,0,0,1,0,0,,0,0,0,0,,,,,初めて,名所、旧跡の観光,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"TV・ラジオ番組やCM, インターネット・アプリ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,"5,000円以上 10,000円未満",,"1,000円未満",,,,,,,,,,,,4,,,,,,10,機会があれば行きたい,とく無し,兼六園,同意する,,,,,,,1981,,,,,,
石川,2023/11/15 17:27:04,岐阜県,女,1965,,500万円以上 600万円未満,夫婦2人,1泊,東京,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,,,,,2～5回目,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡の観光",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光パンフレット・ポスター, インターネット・アプリ, Instagram",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,"20,000円以上 30,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,,5,,,,,,10,また行きたい（1年以内）,金沢駅から兼六園までのルートに、流行りのグルメスポットを増やしてほしい。,兼六園,同意する,,,,,,,1965,,,,,,
石川,2023/11/15 19:13:19,東京都,男,1990,,"1,200万円以上 1,500万円未満",夫婦2人,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,新幹線,0,0,1,0,0,0,0,,0,0,0,0,2,バス停が良い場所になく、バスの時間間隔も長いため待ち時間が多かった。,,,2～5回目,"温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策",0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"インターネット・アプリ, X(旧：Twitter), Instagram, 友人・知人",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,"30,000円以上 40,000円未満",,"1,000円未満",,,,,,,,,,,,3,庭園以外の付加価値があまり感じられなかったため。,庭園自体は満足。,,,,7,機会があれば行きたい,海鮮を観光客価格ではない適切な値段で食べられるところを知りたい。また、バス移動がかなり不便。 金沢おでん(赤玉)、ボタンエビのお刺身、ホテル山楽,兼六園,同意する,,,,,,,1990,,,,,,
石川,2023/11/18 1:00:54,大分県,女,1982,,800万円以上 900万円未満,団体旅行,2泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,新幹線,0,0,1,0,0,0,0,,0,0,0,0,5,路線バスの本数がそこそこあって、乗り場もわかりやすかった。,,,初めて,お祭りやイベントへの参加・見物,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"30,000円以上 40,000円未満",,"3,000円以上 5,000円未満",,,,,,,,,,,,5,金箔のソフトクリームを食べようとおもっていたが、寒かったので断念。代わりに金箔団子があり、楽しめたのが嬉しい。お土産をたくさん買えたことも満足。,トイレも整備されていてよかった。,,,,10,また行きたい（1年以内）,やはり旅行の楽しみはお土産を選ぶことだと思う。お土産屋さんは何店あってもいいと思うし、食べ歩き出来る施設が沢山あるほど観光地としては栄えると思う。 これぞ石川県だと思うので、薦めたいと思う。,兼六園,同意する,,他には時間の都合上行けてない。,,時間の都合上、他の施設には行けなかった。,,,1982,,,,,,
石川,2023/11/20 22:45:44,沖縄県,女,1967,,300万円以上 400万円未満,夫婦2人,3泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,3泊,,,,,,,,,"レンタカー, 飛行機",0,1,0,0,1,0,0,,0,0,0,0,5,駐車場が多い,,,初めて,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡の観光, まちあるき、都市散策",0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック, インターネット・アプリ, Instagram",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,"20,000円以上 30,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,,4,対応が良かった。,とても綺麗にされていて良かった。,,,,10,機会があれば行きたい,特になし 景色が綺麗で心が落ち着く。何度でも来たいから,兼六園,同意する,,,,,,,1967,,,,,,
石川,2023/11/20 23:35:58,大分県,女,1976,,600万円以上 700万円未満,消防団,2泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,"新幹線, 在来線",0,0,1,1,0,0,0,,0,0,0,0,4,待ち時間が少なくて良かった,,,初めて,お祭りやイベントへの参加・見物,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック, 観光パンフレット・ポスター",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,"10,000円以上 20,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,,3,,,,,,5,機会があれば行きたい,子供向けの土産がもう少し欲しい,兼六園,同意する,,,,,,,1976,,,,,,
石川,2023/11/21 18:56:41,千葉県,女,1975,,300万円以上 400万円未満,自分ひとり,2泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,友人の車,0,0,0,0,0,0,0,,0,0,0,0,3,バスが混んでる,,,初めて,友人・親戚を訪ねる,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,友人・知人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,"5,000円以上 10,000円未満",,使わない,,,,,,,,,,,,4,歴史を感じたし植えてある木がすごかった,なかなか見れないところだったので新鮮でした,,,,10,また行きたい（1年以内）,今度行ったとこは釣り体験してみたいですその魚を料理してくれるところもあれば嬉しいです 兼六園にある松の木は他では見れないし池や他の作りも兼六園でしか見れないものが多いのでぜひお勧めしたいです,兼六園,同意する,,,,鈴木大拙館,,,1975,,,,,,
石川,2023/11/21 19:01:37,千葉県,無回答,1975,,300万円以上 400万円未満,恋人,2泊,岐阜県,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,3泊,,,,,,,,,在来線,0,0,0,1,0,0,0,,0,0,0,0,5,,,,初めて,名所、旧跡の観光,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ブログ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,使わない,,"3,000円以上 5,000円未満",,,,,,,,,,,,5,,,,,,3,また行きたい（1年以内）,特にない,兼六園,同意する,,,,,,,1975,,,,,,
石川,2023/11/22 13:42:01,千葉県,女,1966,,"1,200万円以上 1,500万円未満",夫婦2人,2泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,新幹線,0,0,1,0,0,0,0,,0,0,0,0,4,便利だったから,,,初めて,地元の美味しいものを食べる,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,観光展・物産展,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,"5,000円以上 10,000円未満",,使わない,,,,,,,,,,,,4,,,,,,7,また行きたい（1年以内）,特にない,兼六園,同意する,,なし,,,,,1966,,,,,,
石川,2023/11/23 20:38:35,千葉県,女,1988,,400万円以上 500万円未満,友人,1泊,石川県外には泊まらない,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,1泊,,,,,,,,,在来線,0,0,0,1,0,0,0,,0,0,0,0,5,,,,初めて,"宿でのんびり過ごす, 地元の美味しいものを食べる, まちあるき、都市散策",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック, 友人・知人",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,"20,000円以上 30,000円未満",,"1,000円未満",,,,,,,,,,,,5,,,,,,10,また行きたい（1年以内）,海鮮が美味しかったです,兼六園,同意する,,,,,,,1988,,,,,,
石川,2023/11/25 6:40:20,埼玉県,女,1972,,"1,000万円以上 1,200万円未満",自分ひとり,2泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,2泊,,,,,,,,,新幹線,0,0,1,0,0,0,0,,0,0,0,0,4,,,,2～5回目,名所、旧跡の観光,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"10,000円以上 20,000円未満",,"1,000円未満",,,,,,,,,,,,5,,,,,,8,また行きたい（1年以内）,今のままで満足です 金沢神社　ホッとできる空間。御朱印もよかった。,兼六園,同意する,,,,,,,1972,,,,,,
石川,2023/11/25 13:30:11,茨城県,女,1978,,400万円以上 500万円未満,友人,1泊,石川県外には泊まらない,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,1泊,,,,,,,,,新幹線,0,0,1,0,0,0,0,,0,0,0,0,2,どのバスに乗れば良いのか分かりづらいです。交通ICカードが使えないバスが有り不便でした。渋滞も酷いので、路面電車があれば良いのにと思いました。,,,2～5回目,"温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡の観光",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック, インターネット・アプリ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,"5,000円以上 10,000円未満",,使わない,,,,,,,,,,,,3,商品の購入は無いので分かりません,紅葉が素晴らしかったです。2日間の旅行で、昼間と夜のライトアップ、2回伺いました。どちらも違った楽しみ方が出来ました。,,,,8,また行きたい（1年以内）,やはり食べ物が美味しいです。交通事情の改善をお願いしたいです。 金沢の寿司が美味しかったです。,兼六園,同意する,,能登半島,,能登半島,,,1978,,,,,,
石川,2023/11/26 13:01:19,徳島県,男,1955,,500万円以上 600万円未満,夫婦2人,2泊,福井県,石川県内には宿泊しない,石川県内には宿泊しない,,,,,,,,,自家用車,1,0,0,0,0,0,0,,0,0,0,0,,,,,初めて,"地元の美味しいものを食べる, 名所、旧跡の観光",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,使わない,,使わない,,,,,,,,,,,,5,,,,,,10,また行きたい（1年以内）,特になし,兼六園,同意する,,,,,,,1955,,,,,,
石川,2023/11/27 10:49:12,神奈川県,女,1998,,400万円以上 500万円未満,親,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,新幹線,0,0,1,0,0,0,0,,0,0,0,0,4,,,,2～5回目,地元の美味しいものを食べる,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,観光展・物産展,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,"20,000円以上 30,000円未満",,"3,000円以上 5,000円未満",,,,,,,,,,,,5,,,,,,10,また行きたい（1年以内）,特になし,兼六園,同意する,,,,,,,1998,,,,,,
石川,2023/11/27 11:15:57,神奈川県,女,1959,,600万円以上 700万円未満,娘,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,"新幹線, 在来線",0,0,1,1,0,0,0,,0,0,0,0,,,,,2～5回目,"温泉や露天風呂, 地元の美味しいものを食べる, お祭りやイベントへの参加・見物",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ブログ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"10,000円以上 20,000円未満",,"3,000円以上 5,000円未満",,,,,,,,,,,,4,希望をかなえた,,,,,5,機会があれば行きたい,特にない 紹介された場所なので,兼六園,同意する,,ホテル,,帰宅,,,1959,,,,,,
石川,2023/11/27 23:01:09,埼玉県,女,1963,,200万円以上 300万円未満,夫婦2人,2泊,石川県外には泊まらない,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,2泊,,,,,,,,,飛行機,0,0,0,0,1,0,0,,0,0,0,0,5,観光バス用駐車場が便利だった,,,6～10回目,地元の美味しいものを食べる,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"20,000円以上 30,000円未満",,"1,000円未満",,,,,,,,,,,,4,,紅葉と雪吊り,,,,8,機会があれば行きたい,美味しいものがたくさんあり、食べ過ぎて困る、しかし、金沢駅に行かなかったのでお土産買うのに不便のに困 石川県の食文化,兼六園,同意する,,,,,,,1963,,,,,,
石川,2023/11/28 9:07:05,埼玉県,女,1972,,"900万円以上 1,000万円未満",親,1泊,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,1泊,,,,,,,,,新幹線,0,0,1,0,0,0,0,,0,0,0,0,4,頻繁にバスが来た,,,初めて,"地元の美味しいものを食べる, 名所、旧跡の観光",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光連盟やDMOのHP, インターネット・アプリ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,"5,000円以上 10,000円未満",,"1,000円未満",,,,,,,,,,,,4,混雑回避するため案内をしていた,とてもきれいにされており、気持ち良く利用できた,,,,10,また行きたい（1年以内）,金沢の名物が食べれる飲食店がランク別にわかると嬉しい 観光施設が集中しているため,兼六園,同意する,,,,,,,1972,,,,,,
石川,2023/11/28 9:22:51,福岡県,男,1963,,500万円以上 600万円未満,夫婦2人,4泊以上,石川県外には泊まらない,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,4泊以上,,,,,,,,,"新幹線, 在来線",0,0,1,1,0,0,0,,0,0,0,0,4,交通費も安く、市内観光出来る事。,,,2～5回目,"地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"観光展・物産展, 新聞・雑誌・ガイドブック, 観光パンフレット・ポスター, インターネット・アプリ, 友人・知人, 観光協会等の案内所",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,,,,,,"20,000円以上 30,000円未満",,使わない,,,,,,,,,,,,3,すみません兼六園では何も購入していません。,昼も夜も風景が素晴らしい。,,,,10,機会があれば行きたい,観光、食事、最高に素敵でした。お土産は、和菓子、ビーバーとハッピーターンが好評でした。 観光は兼六園。食事は魚介類。安くて美味しく最高でした。,兼六園,同意する,,,,,,,1963,,,,,,
石川,2023/11/28 10:13:05,東京都,男,1961,,300万円以上 400万円未満,夫婦2人,1泊,富山県,石川県内には宿泊しない,1泊,,,,,,,,,"新幹線, 夜行バス",0,0,1,0,0,0,0,,0,0,0,0,4,運転手さんが気さくで親切でした。,,,2～5回目,"まちあるき、都市散策, 移住のための不動産の下見。",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,インターネット・アプリ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"10,000円以上 20,000円未満",,"1,000円以上 3,000円未満",,,,,,,,,,,,4,紅葉🍁が綺麗でした。,綺麗に手入れしてあったので。,,,,9,また行きたい（1年以内）,移住を考えてます。 金沢駅の駅ビル,兼六園,同意する,,金沢駅から。,,不動産の下見。,,,1961,,,,,,
石川,2023/11/28 10:16:11,東京都,女,1960,,400万円以上 500万円未満,夫婦2人,1泊,富山県,石川県内には宿泊しない,石川県内には宿泊しない,,,,,,,,,夜行バス,0,0,0,0,0,0,0,,0,0,0,0,4,バスはすごく並ぶし、どこから乗るのか、よくわらなかったので,,,11回目以上,"名所、旧跡の観光, 買い物、アウトレット, 移住のための物件探し",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,元々羽咋郡志賀町が田舎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,"10,000円以上 20,000円未満",,"5,000円以上 10,000円未満",,,,,,,,,,,,4,美術館にて九谷焼の新しいデザイナーによるお皿がよかったので,,,,,10,また行きたい（1年以内）,今のままずーっと無くならずに続いて欲しい 雪吊りの様子が見られる時も良い、紅葉の紅葉と相まってよかった,兼六園,同意する,,,,,,,1960,,,,,,
